model,setting,frequency_weight,mse_weight,norm_weight,pearson_weight,spectral_convergence_weight,spectral_magnitude_weight,mae,pcc,p
RF_20240902_123124,101_natural_lighting,1.0,0.0,1.0,1.0,0.0,0.0,2.668,0.406,0.0
RF_20240902_210159,101_natural_lighting,1.0,0.0,0.0,0.0,0.0,0.0,2.364,0.623,0.0
RF_20240903_023334,101_natural_lighting,0.0,1.0,0.0,0.0,0.0,0.0,4.026,0.068,0.0
RF_20240903_051739,101_natural_lighting,0.0,0.0,0.0,0.0,1.0,0.0,2.452,0.592,0.0
RF_20240903_104800,101_natural_lighting,1.0,1.0,1.0,1.0,1.0,1.0,2.916,0.353,0.0
RF_20240903_230906,303_normalized_face,0.0,0.0,0.0,0.0,1.0,0.0,6.964,0.291,0.0
RF_20240904_001421,303_normalized_face,1.0,0.0,1.0,1.0,0.0,0.0,3.633,0.291,0.0
RF_20240904_011940,303_normalized_face,0.0,1.0,0.0,0.0,0.0,0.0,4.851,-0.025,0.01
RF_20240904_022517,303_normalized_face,1.0,1.0,1.0,1.0,1.0,1.0,3.843,0.214,0.0
RF_20240905_134835,101_natural_lighting,1.0,1.0,0.0,1.0,1.0,1.0,3.416,0.159,0.0
RF_20240905_163112,303_normalized_face,1.0,1.0,0.0,1.0,1.0,1.0,4.104,0.321,0.0
RF_20240905_233757,101_natural_lighting,1.0,0.0,0.0,0.0,1.0,0.0,3.367,0.34,0.0
RF_20240906_022111,303_normalized_face,1.0,0.0,0.0,0.0,1.0,0.0,4.324,0.417,0.0
RF_20240906_213402,101_natural_lighting,1.0,0.0,0.0,1.0,0.0,0.0,3.981,0.163,0.0
RF_20240907_001728,303_normalized_face,1.0,0.0,0.0,1.0,0.0,0.0,4.683,-0.082,0.0
RF_20240907_215246,303_normalized_face,1.0,0.0,0.0,1.0,0.0,0.0,4.407,0.225,0.0
RF_20240908_194112,303_normalized_face,1.0,0.0,0.0,0.0,0.0,0.0,4.79,-0.109,0.0
