model,mae,pcc,p,diff_mean,diff_std
raft_large,2.363,0.545,0.0,0.878,3.419
raft_small,2.31,0.573,0.0,0.78,3.3
FlowNet2,2.492,0.542,0.0,0.752,3.504
FlowNet2C,2.226,0.617,0.0,-0.885,3.314
FlowNet2CS,1.923,0.674,0.0,-0.915,2.981
FlowNet2CSS,2.429,0.488,0.0,-0.646,3.803
FlowNet2S,2.246,0.579,0.0,0.934,3.374
FlowNet2SD,2.506,0.471,0.0,0.45,3.899
lucas_kanade,1.641,0.78,0.0,-1.286,2.428
pixel_intensity_rgb,2.184,0.625,0.0,-1.445,3.379
pixel_intensity_grey,2.21,0.615,0.0,-1.425,3.416
MMPD_intra_RhythmFormer,4.083,0.252,0.0,0.976,5.214
PURE_cross_RhythmFormer,5.511,0.221,0.0,3.161,5.853
UBFC_cross_RhythmFormer,6.172,0.153,0.0,1.749,7.057
UBFC-rPPG_EfficientPhys,4.62,0.209,0.0,2.296,5.372
BP4D_PseudoLabel_EfficientPhys,4.758,0.154,0.0,1.795,5.772
SCAMPS_EfficientPhys,4.796,0.171,0.0,2.233,5.422
PURE_EfficientPhys,4.824,0.26,0.0,2.097,5.473
MA-UBFC_efficientphys,5.23,0.15,0.0,2.335,5.998
MA-UBFC_efficientphys,5.23,0.15,0.0,2.335,5.998
BP4D_PseudoLabel_TSCAN,5.141,0.146,0.0,1.846,5.864
MA-UBFC_tscan,5.219,0.176,0.0,2.561,5.721
PURE_TSCAN,4.94,0.145,0.0,2.977,5.267
SCAMPS_TSCAN,4.818,0.259,0.0,3.01,5.046
UBFC-rPPG_TSCAN,4.766,0.243,0.0,2.526,5.239
BP4D_PseudoLabel_DeepPhys,4.574,0.198,0.0,2.214,5.314
MA-UBFC_deepphys,5.508,0.148,0.0,2.63,5.915
PURE_DeepPhys,5.629,0.034,0.0,2.123,6.264
SCAMPS_DeepPhys,4.774,0.19,0.0,1.854,5.596
UBFC-rPPG_DeepPhys,5.029,0.127,0.0,2.073,5.677
MA-UBFC_efficientphys,5.23,0.15,0.0,2.335,5.998
MA-UBFC_efficientphys,5.23,0.15,0.0,2.335,5.998
RF_20240902_094648,2.983,0.415,0.0,-0.374,4.199
RF_20240902_123124,2.668,0.406,0.0,-0.538,3.687
RF_20240902_152753,3.085,0.285,0.0,1.038,4.067
RF_20240902_181443,3.235,0.229,0.0,0.593,4.37
RF_20240902_210159,2.364,0.623,0.0,-1.642,3.12
RF_20240902_234749,5.085,0.227,0.0,3.033,5.311
RF_20240903_023334,4.026,0.068,0.0,-0.602,5.245
RF_20240903_051739,2.452,0.592,0.0,-1.445,3.279
RF_20240903_080307,2.997,0.38,0.0,-1.119,3.961
RF_20240903_104800,2.916,0.353,0.0,-0.819,4.043
RF_20240903_171319,7.116,0.287,0.0,-6.106,6.153
RF_20240904_231209,3.825,0.252,0.0,0.874,5.408
RF_20240905_094727,2.643,0.559,0.0,-2.008,3.337
RF_20240905_134835,3.416,0.159,0.0,-0.882,4.771
RF_20240905_173644,3.956,0.145,0.0,0.067,5.337
RF_20240905_233757,3.367,0.34,0.0,-1.628,4.014
RF_20240906_213402,3.981,0.163,0.0,-0.892,5.175
RF_20240907_190942,3.147,0.416,0.0,-1.488,3.983
RF_20240903_230906,6.964,0.291,0.0,-4.972,7.315
RF_20240904_001421,3.633,0.291,0.0,-0.371,4.762
RF_20240904_011940,4.851,-0.025,0.01,-0.096,6.255
RF_20240904_022517,3.843,0.214,0.0,0.004,5.241
RF_20240905_163112,4.104,0.321,0.0,2.047,4.694
RF_20240906_022111,4.324,0.417,0.0,-2.025,5.23
RF_20240907_001728,4.683,-0.082,0.0,-0.401,6.011
RF_20240907_215246,4.407,0.225,0.0,-1.881,5.984
RF_20240908_194112,4.79,-0.109,0.0,-0.657,6.122
SimpleViT_20240822_132209,2.68,0.371,0.0,-0.475,3.936
SimpleViT_20240821_183456,3.059,0.328,0.0,-0.257,4.749
SimpleViT_20240821_115511,2.674,0.552,0.0,-1.154,3.722
SimpleViT_20240803_105616,3.246,0.352,0.0,-0.889,4.157
SimpleViT_20240729_195756,2.91,0.405,0.0,-0.821,3.913
SimpleViT_20240728_172805,4.188,0.246,0.0,0.344,5.6
SimpleViT_20240728_114332,3.093,0.376,0.0,-1.657,4.451
SimpleViT_20240906_131118,2.355,0.603,0.0,-1.164,3.426
SimpleViT_20240908_082705,3.747,0.271,0.0,-0.198,5.33
mtts_can,4.504,0.275,0.0,2.927,4.744
big_small,4.842,0.218,0.0,3.617,4.726
random,5.639,0.104,0.0,3.946,5.308
